num,slope,std_err
1,0.0,0.0
2,58.28340457127487,9.748866153671488
4,44.30146412947918,5.649091377248524
6,16.081768532052973,3.9731388560676657
3,0.0,0.0
31,7.657764954495785,2.2905872818519915
5,21.74282227195857,3.9032076204065
32,16.975737665098485,4.159522043675482
7,0.0,0.0
10,67.59407973126844,10.683975297387244
11,52.748299841851065,12.353414595371593
9,10.830580273706152,3.1713012024952705
8,8.022018878052343,2.6303229834556583
160,21.337281563289583,4.38206122884774
161,31.449961709795225,7.545601920391221
157,0.0,0.0
158,22.48828728062947,8.085722663537616
