code,test,BAS_Py,LAS_Py,acid sites (TTBP)
Na,,79.78814841469877,55.88281993041922,25.61579397003896
Ca,,62.02747689055318,100.60019110725436,25.28774781203818
Mgcl2,,108.8934459992322,110.61001841896632,
TiO2,,113.72707100009808,63.32755049114129,
Pristine,,125.4253516184818,66.53980665652338,48.09640086231508
