filename,Tmax,T50,polymer_weight,cat_weight,coke_weight,num_loading,num_run
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_P_1_1.txt,257.58,243.8,4.792804,1.893605,0.043293000000000026,1,1
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_P_1_2.txt,286.69,267.56,4.772952999999999,0.981068,0.02174799999999988,2,1
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_P_1_3.txt,302.98,281.85,4.835148,0.682659,0.018020999999999954,3,1
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_S080101_2_1.txt,255.28,243.01,4.621867999999999,1.890387,0.03228300000000006,1,2
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_S080102_2_2.txt,284.53,268.0,4.63132,0.978561,0.016429000000000027,2,2
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_S080103_2_3.txt,303.48,285.54,4.608318,0.673953,0.01754699999999998,3,2
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_S080201_3_1.txt,259.11,246.16,4.702018000000001,1.887643,0.028488999999999987,1,3
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_S080202_3_2.txt,286.76,270.23,4.65842,0.96623,0.01598899999999992,2,3
008_NF_1_PP1-004_(NH4)2SO4_LL_ZY_S080203_3_3.txt,306.38,288.95,4.624104,0.668329,0.017954000000000025,3,3
