,wavenumber,absorbance,absorbance_byweight
0,4000.122314453125,0.015683055,0.0011985045
1,3999.6401977539062,0.015708923,0.0012004813
2,3999.1580810546875,0.015868902,0.001212707
3,3998.6759643554688,0.016161561,0.001235072
4,3998.19384765625,0.016569734,0.0012662647
5,3997.7117309570312,0.017066717,0.0013042444
6,3997.2296142578125,0.017613411,0.0013460229
7,3996.7474975585938,0.018168092,0.0013884119
8,3996.265380859375,0.018685699,0.0014279676
9,3995.7832641601562,0.01912427,0.0014614833
10,3995.3011474609375,0.019451141,0.0014864629
11,3994.8190307617188,0.019649506,0.001501622
12,3994.3369140625,0.019720316,0.0015070334
13,3993.8547973632812,0.019683719,0.0015042366
14,3993.3726806640625,0.01957643,0.0014960376
15,3992.8905639648438,0.0194422,0.0014857796
16,3992.408447265625,0.019316792,0.0014761959
17,3991.9263305664062,0.019221902,0.0014689444
18,3991.4442138671875,0.019155502,0.00146387
19,3990.9620971679688,0.019095778,0.001459306
20,3990.47998046875,0.01900959,0.0014527194
21,3989.9978637695312,0.018865943,0.0014417418
22,3989.5157470703125,0.018653274,0.0014254896
23,3989.0336303710938,0.018385649,0.0014050376
24,3988.551513671875,0.01809454,0.001382791
25,3988.0693969726562,0.01783228,0.0013627489
26,3987.5872802734375,0.017648458,0.0013487013
27,3987.1051635742188,0.017579675,0.0013434448
28,3986.623046875,0.01763761,0.0013478723
29,3986.1409301757812,0.017814755,0.0013614098
30,3985.6588134765625,0.018078804,0.0013815884
31,3985.1766967773438,0.018389225,0.0014053109
32,3984.694580078125,0.018698454,0.0014289423
33,3984.2124633789062,0.018963218,0.0014491756
34,3983.7303466796875,0.019144416,0.0014630229
35,3983.2482299804688,0.01921606,0.001468498
36,3982.76611328125,0.019163847,0.0014645078
37,3982.2839965820312,0.018995166,0.0014516171
38,3981.8018798828125,0.018741012,0.0014321946
39,3981.3197631835938,0.018451452,0.0014100664
40,3980.837646484375,0.018192649,0.0013902885
41,3980.3555297851562,0.018024802,0.0013774616
42,3979.8734130859375,0.01798582,0.0013744826
43,3979.3912963867188,0.018076181,0.001381388
44,3978.9091796875,0.018259168,0.0013953719
45,3978.4270629882812,0.0184623,0.0014108954
46,3977.9449462890625,0.018606067,0.0014218821
47,3977.4628295898438,0.018632412,0.0014238954
48,3976.980712890625,0.018521309,0.0014154048
49,3976.4985961914062,0.018308163,0.0013991161
50,3976.0164794921875,0.01806748,0.001380723
51,3975.5343627929688,0.017894506,0.0013675044
52,3975.05224609375,0.017872095,0.0013657917
53,3974.5701293945312,0.018036842,0.0013783817
54,3974.0880126953125,0.018367767,0.0014036711
55,3973.6058959960938,0.018787622,0.0014357566
56,3973.123779296875,0.019195795,0.0014669492
57,3972.6416625976562,0.01948452,0.0014890137
58,3972.1595458984375,0.019581914,0.0014964566
59,3971.6774291992188,0.019469857,0.0014878932
60,3971.1953125,0.019183397,0.0014660018
61,3970.7131958007812,0.018796563,0.0014364398
62,3970.2310791015625,0.01840043,0.0014061673
63,3969.7489624023438,0.018081069,0.0013817615
64,3969.266845703125,0.017891288,0.0013672584
65,3968.7847290039062,0.017849803,0.001364088
66,3968.3026123046875,0.01793921,0.0013709206
67,3967.8204956054688,0.018121243,0.0013848316
68,3967.33837890625,0.018344045,0.0014018582
